Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
,,771,N/A,N/A,N/A,0.004,0.036
,,772,N/A,N/A,N/A,0.004,0.037
,,773,N/A,N/A,N/A,0.004,0.039
,,774,N/A,N/A,N/A,0.004,0.039
,,775,N/A,N/A,N/A,0.004,0.038
,,776,N/A,N/A,N/A,0.004,0.038
,,777,N/A,N/A,N/A,0.004,0.038
,,778,N/A,N/A,N/A,0.004,0.035
,,779,N/A,N/A,N/A,0.003,0.030
,,780,N/A,N/A,N/A,0.003,0.028
,,PPFD (400 - 700 nm),N/A,N/A,N/A,N/A,323.62
,,PPFD FR (701 - 780 nm),N/A,N/A,N/A,N/A,5.4536
,,PPFD R (600 - 700 nm),N/A,N/A,N/A,N/A,209.89
,,PPFD G (500 - 599 nm),N/A,N/A,N/A,N/A,20.947
,,PPFD B (400 - 499 nm),N/A,N/A,N/A,N/A,92.792
,,PPFD UV (380 - 399 nm),N/A,N/A,N/A,N/A,0.3236
,,YPFD (400 - 700 nm),N/A,N/A,N/A,N/A,281.86
,,YPFD (380 - 780 nm),N/A,N/A,N/A,N/A,283.19
,,YPFD FR (701 - 780 nm),N/A,N/A,N/A,N/A,1.1326
,,YPFD R (600 - 700 nm),N/A,N/A,N/A,N/A,195.31
,,YPFD G (500 - 599 nm),N/A,N/A,N/A,N/A,18.516
,,YPFD B (400 - 499 nm),N/A,N/A,N/A,N/A,68.060
,,YPFD UV (380 - 399 nm),N/A,N/A,N/A,N/A,0.1898
,,R/B,N/A,N/A,N/A,N/A,2.26
,,R/FR,N/A,N/A,N/A,N/A,38.48
,,DLI,N/A,N/A,N/A,N/A,27.961
,,Illuminance,N/A,N/A,N/A,N/A,6241
,,λp (380~780 nm),N/A,N/A,N/A,N/A,659
,,λD (380~780 nm),N/A,N/A,N/A,N/A,0
,,CCT,N/A,N/A,N/A,N/A,0
,,CRI (Ra),N/A,N/A,N/A,N/A,0
,,Ref.,N/A,N/A,N/A,N/A,McCREEs ACTION SPECTRUM
