Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd,Test 4 - raw,Test 4 - ppfd
,,665,N/A,N/A,N/A,0.977,2.096,0.977,1.835,0.978,1.985,0.977,0.894
,,666,N/A,N/A,N/A,0.947,2.035,0.949,1.784,0.949,1.929,0.947,0.868
,,667,N/A,N/A,N/A,0.906,1.951,0.909,1.712,0.909,1.851,0.906,0.831
,,668,N/A,N/A,N/A,0.857,1.847,0.861,1.623,0.860,1.754,0.856,0.787
,,669,N/A,N/A,N/A,0.800,1.727,0.804,1.519,0.804,1.641,0.799,0.736
,,670,N/A,N/A,N/A,0.738,1.595,0.742,1.403,0.742,1.517,0.737,0.679
,,671,N/A,N/A,N/A,0.673,1.456,0.677,1.282,0.677,1.387,0.671,0.620
,,672,N/A,N/A,N/A,0.607,1.315,0.610,1.158,0.611,1.253,0.605,0.560
,,673,N/A,N/A,N/A,0.542,1.176,0.546,1.037,0.546,1.121,0.541,0.501
,,674,N/A,N/A,N/A,0.480,1.043,0.483,0.920,0.484,0.995,0.479,0.444
,,675,N/A,N/A,N/A,0.422,0.918,0.425,0.811,0.426,0.877,0.421,0.391
,,676,N/A,N/A,N/A,0.369,0.804,0.372,0.710,0.372,0.767,0.368,0.343
,,677,N/A,N/A,N/A,0.321,0.700,0.324,0.619,0.324,0.669,0.321,0.299
,,678,N/A,N/A,N/A,0.278,0.608,0.281,0.537,0.281,0.580,0.278,0.259
,,679,N/A,N/A,N/A,0.240,0.526,0.242,0.464,0.242,0.502,0.240,0.224
,,680,N/A,N/A,N/A,0.207,0.454,0.209,0.401,0.209,0.434,0.207,0.194
,,681,N/A,N/A,N/A,0.179,0.393,0.180,0.347,0.181,0.376,0.179,0.168
,,682,N/A,N/A,N/A,0.155,0.342,0.156,0.301,0.157,0.326,0.155,0.145
,,683,N/A,N/A,N/A,0.135,0.298,0.136,0.262,0.137,0.285,0.135,0.127
,,684,N/A,N/A,N/A,0.118,0.261,0.119,0.230,0.120,0.250,0.118,0.111
,,685,N/A,N/A,N/A,0.104,0.231,0.105,0.203,0.106,0.221,0.104,0.098
,,686,N/A,N/A,N/A,0.092,0.205,0.093,0.180,0.094,0.196,0.092,0.087
,,687,N/A,N/A,N/A,0.083,0.183,0.083,0.162,0.084,0.176,0.082,0.078
,,688,N/A,N/A,N/A,0.075,0.166,0.075,0.146,0.076,0.159,0.074,0.070
,,689,N/A,N/A,N/A,0.068,0.151,0.069,0.134,0.069,0.144,0.068,0.064
,,690,N/A,N/A,N/A,0.063,0.139,0.063,0.123,0.063,0.133,0.062,0.059
,,691,N/A,N/A,N/A,0.058,0.129,0.059,0.114,0.058,0.123,0.057,0.054
,,692,N/A,N/A,N/A,0.054,0.120,0.055,0.107,0.054,0.114,0.053,0.051
,,693,N/A,N/A,N/A,0.050,0.113,0.051,0.101,0.051,0.107,0.050,0.048
,,694,N/A,N/A,N/A,0.047,0.106,0.048,0.095,0.048,0.101,0.047,0.045
,,695,N/A,N/A,N/A,0.045,0.100,0.046,0.090,0.045,0.095,0.044,0.042
,,696,N/A,N/A,N/A,0.042,0.095,0.043,0.085,0.042,0.090,0.042,0.040
,,697,N/A,N/A,N/A,0.040,0.090,0.041,0.080,0.040,0.085,0.039,0.038
,,698,N/A,N/A,N/A,0.038,0.086,0.039,0.076,0.038,0.080,0.037,0.036
,,699,N/A,N/A,N/A,0.036,0.082,0.037,0.073,0.036,0.076,0.035,0.034
,,700,N/A,N/A,N/A,0.034,0.077,0.035,0.069,0.034,0.072,0.033,0.032
,,701,N/A,N/A,N/A,0.032,0.073,0.033,0.065,0.032,0.068,0.032,0.031
,,702,N/A,N/A,N/A,0.031,0.069,0.031,0.062,0.030,0.065,0.030,0.029
,,703,N/A,N/A,N/A,0.029,0.066,0.030,0.059,0.028,0.061,0.028,0.028
,,704,N/A,N/A,N/A,0.027,0.062,0.028,0.055,0.027,0.058,0.027,0.026
,,705,N/A,N/A,N/A,0.026,0.059,0.026,0.052,0.025,0.054,0.025,0.025
,,706,N/A,N/A,N/A,0.025,0.056,0.025,0.049,0.024,0.051,0.024,0.023
,,707,N/A,N/A,N/A,0.023,0.053,0.023,0.047,0.023,0.049,0.023,0.022
,,708,N/A,N/A,N/A,0.022,0.050,0.022,0.044,0.021,0.046,0.022,0.021
,,709,N/A,N/A,N/A,0.021,0.048,0.021,0.042,0.020,0.044,0.021,0.020
,,710,N/A,N/A,N/A,0.020,0.045,0.020,0.039,0.019,0.041,0.019,0.019
,,711,N/A,N/A,N/A,0.019,0.043,0.018,0.037,0.018,0.039,0.018,0.018
,,712,N/A,N/A,N/A,0.018,0.041,0.017,0.035,0.017,0.037,0.017,0.017
,,713,N/A,N/A,N/A,0.017,0.039,0.017,0.033,0.016,0.035,0.016,0.016
,,714,N/A,N/A,N/A,0.016,0.037,0.016,0.032,0.015,0.034,0.015,0.015
,,715,N/A,N/A,N/A,0.015,0.036,0.015,0.031,0.015,0.032,0.015,0.014
,,716,N/A,N/A,N/A,0.015,0.034,0.015,0.030,0.014,0.031,0.014,0.014
,,717,N/A,N/A,N/A,0.014,0.033,0.014,0.029,0.014,0.030,0.014,0.013
,,718,N/A,N/A,N/A,0.014,0.031,0.014,0.028,0.013,0.028,0.013,0.013
,,719,N/A,N/A,N/A,0.013,0.030,0.014,0.027,0.012,0.027,0.013,0.012
,,720,N/A,N/A,N/A,0.013,0.029,0.013,0.027,0.012,0.027,0.012,0.012
,,721,N/A,N/A,N/A,0.012,0.029,0.013,0.027,0.012,0.026,0.012,0.012
,,722,N/A,N/A,N/A,0.012,0.028,0.013,0.026,0.011,0.025,0.011,0.011
,,723,N/A,N/A,N/A,0.012,0.027,0.013,0.026,0.011,0.025,0.011,0.011
,,724,N/A,N/A,N/A,0.012,0.027,0.012,0.025,0.011,0.024,0.011,0.011
,,725,N/A,N/A,N/A,0.011,0.027,0.012,0.025,0.011,0.024,0.011,0.011
,,726,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.011,0.023,0.011,0.011
,,727,N/A,N/A,N/A,0.011,0.026,0.012,0.024,0.010,0.023,0.011,0.011
,,728,N/A,N/A,N/A,0.011,0.026,0.012,0.024,0.010,0.023,0.011,0.011
,,729,N/A,N/A,N/A,0.011,0.025,0.012,0.024,0.010,0.023,0.011,0.011
,,730,N/A,N/A,N/A,0.011,0.025,0.012,0.024,0.010,0.023,0.011,0.011
,,731,N/A,N/A,N/A,0.011,0.025,0.012,0.024,0.010,0.023,0.011,0.011
,,732,N/A,N/A,N/A,0.011,0.026,0.012,0.024,0.010,0.022,0.011,0.011
,,733,N/A,N/A,N/A,0.011,0.026,0.012,0.024,0.010,0.022,0.011,0.011
,,734,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.010,0.022,0.011,0.011
,,735,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.010,0.023,0.011,0.011
,,736,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.010,0.023,0.011,0.011
,,737,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.010,0.022,0.011,0.011
,,738,N/A,N/A,N/A,0.011,0.026,0.012,0.025,0.010,0.022,0.011,0.011
,,739,N/A,N/A,N/A,0.011,0.025,0.012,0.024,0.010,0.022,0.010,0.010
,,740,N/A,N/A,N/A,0.010,0.025,0.012,0.024,0.010,0.022,0.010,0.010
,,741,N/A,N/A,N/A,0.010,0.025,0.011,0.024,0.010,0.022,0.010,0.010
,,742,N/A,N/A,N/A,0.010,0.024,0.011,0.023,0.010,0.022,0.010,0.010
,,743,N/A,N/A,N/A,0.010,0.024,0.011,0.023,0.009,0.021,0.010,0.010
,,744,N/A,N/A,N/A,0.010,0.023,0.011,0.023,0.009,0.021,0.010,0.010
,,745,N/A,N/A,N/A,0.009,0.022,0.011,0.023,0.009,0.021,0.010,0.010
,,746,N/A,N/A,N/A,0.009,0.022,0.011,0.023,0.009,0.020,0.009,0.010
,,747,N/A,N/A,N/A,0.009,0.021,0.011,0.022,0.009,0.020,0.009,0.009
,,748,N/A,N/A,N/A,0.008,0.020,0.010,0.022,0.009,0.020,0.009,0.009
,,749,N/A,N/A,N/A,0.008,0.020,0.010,0.022,0.008,0.019,0.009,0.009
,,750,N/A,N/A,N/A,0.008,0.019,0.010,0.022,0.008,0.019,0.008,0.009
,,751,N/A,N/A,N/A,0.008,0.019,0.010,0.021,0.008,0.018,0.008,0.008
,,752,N/A,N/A,N/A,0.008,0.019,0.010,0.021,0.008,0.018,0.008,0.008
,,753,N/A,N/A,N/A,0.008,0.018,0.010,0.020,0.008,0.018,0.008,0.008
,,754,N/A,N/A,N/A,0.007,0.018,0.009,0.020,0.007,0.017,0.007,0.008
,,755,N/A,N/A,N/A,0.007,0.018,0.009,0.019,0.007,0.017,0.007,0.007
,,756,N/A,N/A,N/A,0.007,0.017,0.009,0.019,0.007,0.017,0.007,0.007
,,757,N/A,N/A,N/A,0.007,0.017,0.009,0.018,0.007,0.016,0.006,0.007
,,758,N/A,N/A,N/A,0.007,0.017,0.008,0.018,0.007,0.016,0.006,0.007
,,759,N/A,N/A,N/A,0.007,0.017,0.008,0.018,0.007,0.016,0.007,0.007
,,760,N/A,N/A,N/A,0.007,0.017,0.008,0.017,0.007,0.016,0.007,0.007
,,761,N/A,N/A,N/A,0.007,0.017,0.008,0.017,0.007,0.015,0.007,0.007
,,762,N/A,N/A,N/A,0.007,0.017,0.008,0.017,0.007,0.015,0.007,0.007
,,763,N/A,N/A,N/A,0.007,0.017,0.008,0.016,0.006,0.015,0.007,0.007
,,764,N/A,N/A,N/A,0.007,0.017,0.007,0.016,0.006,0.015,0.006,0.007
,,765,N/A,N/A,N/A,0.007,0.017,0.007,0.016,0.006,0.015,0.006,0.007
,,766,N/A,N/A,N/A,0.007,0.017,0.007,0.016,0.006,0.015,0.006,0.006
,,767,N/A,N/A,N/A,0.007,0.017,0.007,0.015,0.006,0.014,0.006,0.006
,,768,N/A,N/A,N/A,0.007,0.016,0.007,0.015,0.006,0.014,0.006,0.006
,,769,N/A,N/A,N/A,0.006,0.016,0.006,0.014,0.006,0.013,0.005,0.006
,,770,N/A,N/A,N/A,0.006,0.016,0.006,0.013,0.006,0.013,0.005,0.006
,,771,N/A,N/A,N/A,0.006,0.016,0.006,0.013,0.006,0.013,0.005,0.006
,,772,N/A,N/A,N/A,0.006,0.015,0.006,0.013,0.006,0.013,0.005,0.005
,,773,N/A,N/A,N/A,0.006,0.015,0.006,0.013,0.005,0.013,0.005,0.005
,,774,N/A,N/A,N/A,0.006,0.014,0.006,0.012,0.005,0.012,0.004,0.005
,,775,N/A,N/A,N/A,0.006,0.014,0.006,0.012,0.005,0.012,0.004,0.005
,,776,N/A,N/A,N/A,0.006,0.015,0.005,0.012,0.005,0.011,0.004,0.004
,,777,N/A,N/A,N/A,0.006,0.015,0.006,0.012,0.004,0.010,0.004,0.004
,,778,N/A,N/A,N/A,0.006,0.015,0.006,0.013,0.004,0.009,0.004,0.004
,,779,N/A,N/A,N/A,0.006,0.016,0.006,0.012,0.004,0.009,0.004,0.005
,,780,N/A,N/A,N/A,0.006,0.016,0.006,0.012,0.004,0.009,0.005,0.005
,,PPFD (400 - 700 nm),94.838,75.513,38.934,N/A,94.838,N/A,81.433,N/A,86.845,N/A,38.934
,,PPFD FR (701 - 780 nm),2.1988,1.7811,0.9008,N/A,2.1988,N/A,2.0438,N/A,1.9812,N/A,0.9008
,,PPFD R (600 - 700 nm),62.598,50.583,26.347,N/A,62.598,N/A,54.591,N/A,58.798,N/A,26.347
,,PPFD G (500 - 599 nm),6.5502,4.8789,2.3326,N/A,6.5502,N/A,5.4109,N/A,5.2218,N/A,2.3326
,,PPFD B (400 - 499 nm),25.694,20.054,10.257,N/A,25.694,N/A,21.436,N/A,22.829,N/A,10.257
,,PPFD UV (380 - 399 nm),0.0604,0.0458,0.0178,N/A,0.0604,N/A,0.0466,N/A,0.0584,N/A,0.0178
,,YPFD (400 - 700 nm),82.324,65.615,33.847,N/A,82.324,N/A,70.788,N/A,75.501,N/A,33.847
,,YPFD (380 - 780 nm),82.802,66.000,34.042,N/A,82.802,N/A,71.215,N/A,75.940,N/A,34.042
,,YPFD FR (701 - 780 nm),0.4419,0.3573,0.1843,N/A,0.4419,N/A,0.3989,N/A,0.4040,N/A,0.1843
,,YPFD R (600 - 700 nm),57.723,46.624,24.278,N/A,57.723,N/A,50.315,N/A,54.179,N/A,24.278
,,YPFD G (500 - 599 nm),5.7936,4.3147,2.0627,N/A,5.7936,N/A,4.7851,N/A,4.6172,N/A,2.0627
,,YPFD B (400 - 499 nm),18.815,14.683,7.5092,N/A,18.815,N/A,15.695,N/A,16.711,N/A,7.5092
,,YPFD UV (380 - 399 nm),0.0356,0.0271,0.0107,N/A,0.0356,N/A,0.0276,N/A,0.0347,N/A,0.0107
,,R/B,2.58,2.53,2.44,N/A,2.44,N/A,2.55,N/A,2.58,N/A,2.57
,,R/FR,29.68,28.53,26.71,N/A,28.47,N/A,26.71,N/A,29.68,N/A,29.25
,,DLI,8.1940,6.5243,3.3639,N/A,8.1940,N/A,7.0358,N/A,7.5034,N/A,3.3639
,,Illuminance,1786,1376,684,N/A,1786,N/A,1503,N/A,1530,N/A,684
,,λp (380~780 nm),663,663,663,N/A,663,N/A,663,N/A,663,N/A,663
,,λD (380~780 nm),0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,CCT,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,CRI (Ra),0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,Ref.,N/A,N/A,N/A,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM
