Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd,Test 2 - raw,Test 2 - ppfd,Test 3 - raw,Test 3 - ppfd,Test 4 - raw,Test 4 - ppfd
,,665,N/A,N/A,N/A,0.963,2.131,0.966,1.170,0.967,1.969,0.962,0.657
,,666,N/A,N/A,N/A,0.928,2.055,0.932,1.130,0.934,1.904,0.926,0.634
,,667,N/A,N/A,N/A,0.882,1.957,0.887,1.077,0.891,1.818,0.881,0.604
,,668,N/A,N/A,N/A,0.829,1.841,0.834,1.014,0.839,1.715,0.827,0.568
,,669,N/A,N/A,N/A,0.769,1.711,0.774,0.943,0.780,1.598,0.768,0.528
,,670,N/A,N/A,N/A,0.705,1.570,0.711,0.867,0.717,1.470,0.704,0.485
,,671,N/A,N/A,N/A,0.639,1.426,0.645,0.788,0.651,1.337,0.639,0.441
,,672,N/A,N/A,N/A,0.573,1.281,0.579,0.709,0.585,1.203,0.574,0.396
,,673,N/A,N/A,N/A,0.510,1.141,0.516,0.632,0.521,1.073,0.511,0.353
,,674,N/A,N/A,N/A,0.450,1.008,0.455,0.559,0.460,0.949,0.451,0.312
,,675,N/A,N/A,N/A,0.395,0.886,0.399,0.491,0.404,0.835,0.396,0.275
,,676,N/A,N/A,N/A,0.344,0.774,0.348,0.429,0.353,0.731,0.346,0.240
,,677,N/A,N/A,N/A,0.299,0.673,0.302,0.373,0.307,0.636,0.301,0.209
,,678,N/A,N/A,N/A,0.258,0.582,0.261,0.323,0.265,0.551,0.260,0.181
,,679,N/A,N/A,N/A,0.223,0.503,0.226,0.279,0.229,0.476,0.225,0.157
,,680,N/A,N/A,N/A,0.192,0.434,0.195,0.241,0.198,0.411,0.195,0.136
,,681,N/A,N/A,N/A,0.166,0.375,0.168,0.209,0.171,0.356,0.169,0.118
,,682,N/A,N/A,N/A,0.144,0.326,0.146,0.181,0.148,0.309,0.147,0.103
,,683,N/A,N/A,N/A,0.125,0.284,0.127,0.158,0.129,0.270,0.129,0.090
,,684,N/A,N/A,N/A,0.110,0.249,0.112,0.139,0.113,0.237,0.113,0.080
,,685,N/A,N/A,N/A,0.097,0.220,0.099,0.123,0.100,0.209,0.100,0.071
,,686,N/A,N/A,N/A,0.086,0.196,0.088,0.110,0.089,0.186,0.089,0.063
,,687,N/A,N/A,N/A,0.077,0.176,0.079,0.099,0.079,0.167,0.081,0.057
,,688,N/A,N/A,N/A,0.070,0.160,0.072,0.090,0.072,0.151,0.073,0.052
,,689,N/A,N/A,N/A,0.064,0.147,0.066,0.083,0.065,0.137,0.067,0.047
,,690,N/A,N/A,N/A,0.059,0.136,0.061,0.076,0.060,0.127,0.062,0.044
,,691,N/A,N/A,N/A,0.055,0.126,0.056,0.071,0.056,0.117,0.058,0.041
,,692,N/A,N/A,N/A,0.051,0.118,0.053,0.066,0.052,0.110,0.054,0.038
,,693,N/A,N/A,N/A,0.048,0.111,0.049,0.062,0.048,0.103,0.050,0.036
,,694,N/A,N/A,N/A,0.045,0.105,0.047,0.059,0.045,0.097,0.047,0.034
,,695,N/A,N/A,N/A,0.043,0.099,0.044,0.056,0.043,0.091,0.045,0.032
,,696,N/A,N/A,N/A,0.041,0.094,0.042,0.053,0.040,0.086,0.042,0.030
,,697,N/A,N/A,N/A,0.039,0.090,0.040,0.050,0.038,0.082,0.040,0.029
,,698,N/A,N/A,N/A,0.037,0.085,0.038,0.048,0.036,0.078,0.038,0.027
,,699,N/A,N/A,N/A,0.035,0.081,0.036,0.046,0.035,0.074,0.036,0.026
,,700,N/A,N/A,N/A,0.033,0.077,0.034,0.044,0.033,0.071,0.034,0.025
,,701,N/A,N/A,N/A,0.032,0.073,0.033,0.042,0.031,0.067,0.033,0.024
,,702,N/A,N/A,N/A,0.030,0.070,0.031,0.040,0.030,0.064,0.031,0.022
,,703,N/A,N/A,N/A,0.028,0.066,0.029,0.038,0.028,0.060,0.029,0.021
,,704,N/A,N/A,N/A,0.027,0.063,0.028,0.036,0.027,0.057,0.028,0.020
,,705,N/A,N/A,N/A,0.026,0.060,0.027,0.034,0.025,0.054,0.026,0.019
,,706,N/A,N/A,N/A,0.024,0.057,0.025,0.033,0.024,0.051,0.025,0.018
,,707,N/A,N/A,N/A,0.023,0.054,0.024,0.031,0.022,0.048,0.024,0.017
,,708,N/A,N/A,N/A,0.021,0.051,0.023,0.030,0.021,0.046,0.022,0.016
,,709,N/A,N/A,N/A,0.020,0.048,0.022,0.028,0.020,0.043,0.021,0.015
,,710,N/A,N/A,N/A,0.019,0.045,0.021,0.027,0.018,0.040,0.019,0.014
,,711,N/A,N/A,N/A,0.018,0.043,0.020,0.025,0.017,0.037,0.018,0.013
,,712,N/A,N/A,N/A,0.017,0.040,0.019,0.024,0.016,0.035,0.017,0.013
,,713,N/A,N/A,N/A,0.016,0.038,0.018,0.023,0.015,0.033,0.016,0.012
,,714,N/A,N/A,N/A,0.015,0.036,0.017,0.022,0.014,0.031,0.015,0.011
,,715,N/A,N/A,N/A,0.014,0.034,0.017,0.022,0.014,0.030,0.015,0.011
,,716,N/A,N/A,N/A,0.014,0.032,0.016,0.021,0.013,0.029,0.014,0.010
,,717,N/A,N/A,N/A,0.013,0.031,0.016,0.021,0.013,0.028,0.013,0.010
,,718,N/A,N/A,N/A,0.012,0.029,0.015,0.020,0.012,0.027,0.013,0.009
,,719,N/A,N/A,N/A,0.012,0.029,0.015,0.020,0.012,0.026,0.012,0.009
,,720,N/A,N/A,N/A,0.012,0.028,0.015,0.020,0.012,0.025,0.012,0.009
,,721,N/A,N/A,N/A,0.011,0.027,0.015,0.020,0.011,0.025,0.012,0.009
,,722,N/A,N/A,N/A,0.011,0.026,0.015,0.019,0.011,0.024,0.011,0.008
,,723,N/A,N/A,N/A,0.011,0.026,0.015,0.019,0.011,0.024,0.011,0.008
,,724,N/A,N/A,N/A,0.010,0.025,0.015,0.019,0.011,0.024,0.011,0.008
,,725,N/A,N/A,N/A,0.010,0.025,0.015,0.019,0.011,0.024,0.011,0.008
,,726,N/A,N/A,N/A,0.010,0.024,0.015,0.019,0.011,0.024,0.011,0.008
,,727,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.011,0.024,0.011,0.008
,,728,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.011,0.024,0.011,0.008
,,729,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.011,0.024,0.011,0.008
,,730,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.011,0.024,0.011,0.008
,,731,N/A,N/A,N/A,0.010,0.023,0.015,0.020,0.011,0.024,0.011,0.008
,,732,N/A,N/A,N/A,0.010,0.023,0.015,0.020,0.010,0.023,0.011,0.008
,,733,N/A,N/A,N/A,0.010,0.023,0.015,0.020,0.010,0.023,0.011,0.008
,,734,N/A,N/A,N/A,0.010,0.023,0.015,0.020,0.010,0.023,0.011,0.008
,,735,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.010,0.023,0.011,0.008
,,736,N/A,N/A,N/A,0.010,0.024,0.015,0.021,0.010,0.023,0.011,0.008
,,737,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.010,0.022,0.011,0.008
,,738,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.010,0.022,0.010,0.008
,,739,N/A,N/A,N/A,0.010,0.024,0.015,0.020,0.010,0.022,0.010,0.008
,,740,N/A,N/A,N/A,0.009,0.023,0.015,0.020,0.010,0.022,0.010,0.007
,,741,N/A,N/A,N/A,0.009,0.023,0.015,0.020,0.009,0.022,0.010,0.007
,,742,N/A,N/A,N/A,0.009,0.023,0.015,0.020,0.009,0.021,0.009,0.007
,,743,N/A,N/A,N/A,0.009,0.022,0.015,0.020,0.009,0.021,0.009,0.007
,,744,N/A,N/A,N/A,0.009,0.022,0.014,0.019,0.009,0.021,0.009,0.007
,,745,N/A,N/A,N/A,0.009,0.021,0.014,0.019,0.009,0.020,0.009,0.007
,,746,N/A,N/A,N/A,0.008,0.020,0.014,0.019,0.009,0.020,0.008,0.006
,,747,N/A,N/A,N/A,0.008,0.020,0.014,0.019,0.008,0.019,0.008,0.006
,,748,N/A,N/A,N/A,0.008,0.019,0.014,0.019,0.008,0.018,0.008,0.006
,,749,N/A,N/A,N/A,0.008,0.019,0.013,0.018,0.008,0.018,0.007,0.006
,,750,N/A,N/A,N/A,0.007,0.018,0.013,0.018,0.007,0.017,0.007,0.006
,,751,N/A,N/A,N/A,0.007,0.018,0.013,0.017,0.007,0.017,0.007,0.005
,,752,N/A,N/A,N/A,0.007,0.018,0.012,0.017,0.007,0.016,0.007,0.005
,,753,N/A,N/A,N/A,0.007,0.017,0.012,0.017,0.007,0.016,0.006,0.005
,,754,N/A,N/A,N/A,0.007,0.017,0.012,0.016,0.007,0.015,0.006,0.005
,,755,N/A,N/A,N/A,0.007,0.017,0.012,0.016,0.007,0.015,0.006,0.004
,,756,N/A,N/A,N/A,0.007,0.016,0.011,0.016,0.006,0.015,0.005,0.004
,,757,N/A,N/A,N/A,0.007,0.016,0.011,0.015,0.006,0.015,0.005,0.004
,,758,N/A,N/A,N/A,0.006,0.016,0.011,0.015,0.006,0.015,0.005,0.004
,,759,N/A,N/A,N/A,0.006,0.016,0.011,0.015,0.006,0.015,0.005,0.004
,,760,N/A,N/A,N/A,0.006,0.016,0.010,0.015,0.007,0.015,0.005,0.004
,,761,N/A,N/A,N/A,0.006,0.016,0.010,0.014,0.007,0.016,0.005,0.004
,,762,N/A,N/A,N/A,0.006,0.016,0.010,0.014,0.007,0.016,0.005,0.004
,,763,N/A,N/A,N/A,0.006,0.015,0.010,0.014,0.007,0.016,0.005,0.004
,,764,N/A,N/A,N/A,0.006,0.015,0.010,0.013,0.007,0.016,0.005,0.004
,,765,N/A,N/A,N/A,0.006,0.014,0.009,0.013,0.007,0.016,0.005,0.004
,,766,N/A,N/A,N/A,0.005,0.014,0.009,0.013,0.006,0.015,0.005,0.004
,,767,N/A,N/A,N/A,0.005,0.014,0.009,0.012,0.006,0.015,0.005,0.004
,,768,N/A,N/A,N/A,0.005,0.013,0.008,0.012,0.006,0.014,0.005,0.004
,,769,N/A,N/A,N/A,0.005,0.013,0.008,0.011,0.006,0.014,0.005,0.004
,,770,N/A,N/A,N/A,0.005,0.012,0.008,0.011,0.006,0.013,0.005,0.004
,,771,N/A,N/A,N/A,0.005,0.012,0.008,0.011,0.005,0.013,0.005,0.004
,,772,N/A,N/A,N/A,0.005,0.012,0.007,0.010,0.005,0.012,0.005,0.004
,,773,N/A,N/A,N/A,0.005,0.012,0.007,0.010,0.005,0.012,0.004,0.004
,,774,N/A,N/A,N/A,0.005,0.012,0.007,0.009,0.005,0.011,0.004,0.003
,,775,N/A,N/A,N/A,0.005,0.012,0.007,0.009,0.005,0.011,0.004,0.003
,,776,N/A,N/A,N/A,0.005,0.012,0.006,0.009,0.005,0.012,0.005,0.004
,,777,N/A,N/A,N/A,0.005,0.012,0.005,0.008,0.005,0.012,0.004,0.003
,,778,N/A,N/A,N/A,0.005,0.012,0.005,0.007,0.005,0.011,0.003,0.003
,,779,N/A,N/A,N/A,0.005,0.012,0.005,0.007,0.005,0.011,0.004,0.003
,,780,N/A,N/A,N/A,0.005,0.013,0.005,0.008,0.005,0.011,0.004,0.003
,,PPFD (400 - 700 nm),97.486,67.327,31.375,N/A,97.486,N/A,53.119,N/A,87.327,N/A,31.375
,,PPFD FR (701 - 780 nm),2.0782,1.5522,0.6467,N/A,2.0782,N/A,1.5341,N/A,1.9496,N/A,0.6467
,,PPFD R (600 - 700 nm),64.409,44.670,20.234,N/A,64.409,N/A,35.306,N/A,58.733,N/A,20.234
,,PPFD G (500 - 599 nm),6.4535,4.3701,2.3501,N/A,6.4535,N/A,3.5632,N/A,5.1135,N/A,2.3501
,,PPFD B (400 - 499 nm),26.628,18.289,8.7926,N/A,26.628,N/A,14.252,N/A,23.485,N/A,8.7926
,,PPFD UV (380 - 399 nm),0.0590,0.0395,0.0138,N/A,0.0590,N/A,0.0316,N/A,0.0537,N/A,0.0138
,,YPFD (400 - 700 nm),84.661,58.476,27.199,N/A,84.661,N/A,46.164,N/A,75.880,N/A,27.199
,,YPFD (380 - 780 nm),85.129,58.811,27.345,N/A,85.129,N/A,46.463,N/A,76.308,N/A,27.345
,,YPFD FR (701 - 780 nm),0.4329,0.3119,0.1379,N/A,0.4329,N/A,0.2803,N/A,0.3966,N/A,0.1379
,,YPFD R (600 - 700 nm),59.468,41.228,18.687,N/A,59.468,N/A,32.583,N/A,54.173,N/A,18.687
,,YPFD G (500 - 599 nm),5.7100,3.8655,2.0785,N/A,5.7100,N/A,3.1528,N/A,4.5204,N/A,2.0785
,,YPFD B (400 - 499 nm),19.490,13.388,6.4363,N/A,19.490,N/A,10.433,N/A,17.194,N/A,6.4363
,,YPFD UV (380 - 399 nm),0.0348,0.0234,0.0082,N/A,0.0348,N/A,0.0188,N/A,0.0317,N/A,0.0082
,,R/B,2.50,2.42,2.30,N/A,2.42,N/A,2.48,N/A,2.50,N/A,2.30
,,R/FR,31.29,28.86,23.02,N/A,30.99,N/A,23.02,N/A,30.13,N/A,31.29
,,DLI,8.4228,5.8170,2.7108,N/A,8.4228,N/A,4.5895,N/A,7.5451,N/A,2.7108
,,Illuminance,1817,1241,623,N/A,1817,N/A,995,N/A,1529,N/A,623
,,λp (380~780 nm),663,662,662,N/A,662,N/A,663,N/A,663,N/A,662
,,λD (380~780 nm),0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,CCT,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,CRI (Ra),0,0,0,N/A,0,N/A,0,N/A,0,N/A,0
,,Ref.,N/A,N/A,N/A,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM,N/A,McCREEs ACTION SPECTRUM
